Physiology	and	phenology	parameters	for	plants	simulated	in	DNDC									
        Crop_ID       Crop_name   max_biomass_C  grain_fraction   leaf_fraction   stem_fraction   root_fraction         GrainCN          LeafCN          StemCN          RootCN     WaterDemand        OptimumT             TDD       Nfixation     Vascularity   PerennialCrop 
             23          Peanut     3757.000000       0.350000       0.230000       0.230000       0.180000      20.000000      40.000000      40.000000      40.000000     300.000000      25.000000    2900.000000       1.000000       0.000000              0 
             24     Upland_rice     4444.000000       0.450000       0.240000       0.240000       0.070000      35.000000      55.000000      55.000000      40.000000     400.000000      25.000000    2250.000000       1.000000       0.000000              0 
             25       Rapeseeds     5634.000000       0.230000       0.340000       0.340000       0.080000      20.000000      75.000000      75.000000      95.000000     300.000000      25.000000    1800.000000       1.000000       0.000000              0 
             26         Tobacco     1920.000000       0.450000       0.240000       0.240000       0.070000      15.000000      15.000000      15.000000      40.000000     700.000000      25.000000    3400.000000       1.000000       0.000000              0 
             27          Millet     2129.000000       0.300000       0.250000       0.250000       0.200000      20.000000      40.000000      40.000000      50.000000     331.000000      25.000000    1750.000000       1.000000       0.000000              0 
             28       Sunflower     2401.000000       0.300000       0.250000       0.250000       0.200000      10.000000      45.000000      45.000000      50.000000     495.000000      25.000000    1500.000000       1.000000       0.000000              0 
             29           Beans     2933.000000       0.360000       0.230000       0.230000       0.180000       9.200000      45.000000      45.000000      55.000000     300.000000      28.000000    1900.000000       2.000000       0.000000              0 
             30  DeepWater_rice     3429.000000       0.350000       0.280000       0.280000       0.100000      29.000000      40.000000      40.000000      72.000000     455.000000      25.000000    1500.000000       1.000000       1.000000              0 
             31           Onion     9600.000000       0.500000       0.200000       0.200000       0.100000      20.000000      50.000000      50.000000      40.000000     235.000000      25.000000    2550.000000       1.000000       0.000000              0 
             32            Palm      280.000000       0.200000       0.250000       0.250000       0.300000      10.000000      30.000000      30.000000      50.000000     250.000000      25.000000    3000.000000       1.000000       0.000000              0 
             33      Strawberry     7309.000000       0.500000       0.100000       0.100000       0.300000      20.000000      30.000000      30.000000      40.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             34         Lettuce     1428.000000       0.640000       0.080000       0.080000       0.200000      11.500000      20.000000      20.000000      30.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             35       Artichoke     6882.000000       0.500000       0.100000       0.100000       0.300000      20.000000      30.000000      30.000000      40.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             36         Flowers     1827.000000       0.500000       0.100000       0.100000       0.300000      20.000000      30.000000      30.000000      40.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             37          Sprout     1827.000000       0.500000       0.100000       0.100000       0.300000      20.000000      30.000000      30.000000      40.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             38         Berries     3200.000000       0.500000       0.100000       0.100000       0.300000      20.000000      30.000000      30.000000      40.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             39     Truck_crops     1428.000000       0.640000       0.080000       0.080000       0.200000      10.000000      20.000000      20.000000      30.000000     800.000000      25.000000    1400.000000       1.000000       0.000000              0 
             40     Fruit_trees     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             41          Citrus     5381.000000       0.500000       0.130000       0.130000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             42           Grape      700.000000       0.400000       0.200000       0.200000       0.200000      22.000000      18.900000      18.900000      44.000000     350.000000      25.000000    1600.000000       1.000000       0.000000              0 
             43     Silage_corn    11250.000000       0.400000       0.220000       0.220000       0.160000      50.000000      80.000000      80.000000      80.000000     150.000000      25.000000    2500.000000       1.000000       0.000000              0 
             44            Hops     1777.000000       0.450000       0.150000       0.150000       0.250000      30.000000      40.000000      40.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             45          Tomato     4613.000000       0.360000       0.220000       0.220000       0.200000      26.000000      26.000000      26.000000      45.000000     900.000000      25.000000    1400.000000       1.000000       0.000000              0 
             46    Rainfed_rice     8238.000000       0.410000       0.270000       0.270000       0.050000      45.000000      85.000000      85.000000      85.000000     508.000000      25.000000    2000.000000       1.050000       1.000000              0 
             47      Cover_crop     4000.000000       0.010000       0.400000       0.400000       0.190000      15.000000      25.000000      25.000000      30.000000     300.000000      25.000000    1300.000000       1.500000       0.000000              0 
             48       Safflower     6500.000000       0.160000       0.320000       0.320000       0.200000      16.000000      60.000000      60.000000      60.000000     300.000000      25.000000    1000.000000       1.000000       0.000000              0 
             49            Flax     1500.000000       0.400000       0.200000       0.200000       0.200000       9.000000      25.000000      25.000000      30.000000     250.000000      25.000000    2300.000000       1.000000       0.000000              0 
             50           Sedge    20000.000000       0.100000       0.300000       0.300000       0.300000      50.000000      61.000000      61.000000      44.000000     800.000000      25.000000    3000.000000       1.000000       0.000000              1 
             51         Cassava     9231.000000       0.650000       0.150000       0.150000       0.050000      70.000000      65.000000      65.000000      75.000000     415.000000      25.000000    3100.000000       1.000000       0.000000              0 
             52         Cattail    14000.000000       0.010000       0.280000       0.280000       0.440000      66.000000      66.000000      66.000000      40.000000     550.000000      25.000000    3000.000000       1.000000       1.000000              0 
             53     CA_broccoli     4000.000000       0.300000       0.270000       0.270000       0.160000      10.000000      14.700000      14.700000      45.000000     150.000000      25.000000    1800.000000       1.000000       0.000000              0 
             54      Evergreens     4324.000000       0.370000       0.220000       0.220000       0.200000      50.000000      75.000000      75.000000      85.000000     400.000000      25.000000    4000.000000       1.000000       0.000000              0 
             55         Cabbage     2800.000000       0.010000       0.430000       0.430000       0.140000      15.000000      20.000000      20.000000      50.000000     450.000000      25.000000    2500.000000       1.000000       0.000000              0 
             56     Green_onion     4000.000000       0.050000       0.400000       0.400000       0.150000      10.000000      10.000000      10.000000      15.000000     400.000000      25.000000    2200.000000       1.000000       0.000000              0 
             57         Mustard     4400.000000       0.100000       0.300000       0.300000       0.300000      15.000000      25.000000      25.000000      45.000000     150.000000      25.000000    2200.000000       1.000000       0.000000              0 
             58            Tule    10800.000000       0.010000       0.280000       0.280000       0.440000      66.000000      66.000000      66.000000      40.000000     508.000000      25.000000    3000.000000       1.000000       1.000000              1 
             59            Moss     4800.000000       0.010000       0.450000       0.450000       0.090000     120.000000     120.000000     120.000000     120.000000     550.000000      20.000000     500.000000       1.000000       0.000000              1 
             60          Radish     4081.000000       0.750000       0.130000       0.130000       0.010000      19.000000      45.000000      45.000000      44.000000     508.000000      15.000000    1000.000000       1.000000       0.000000              0 
             61           Shrub     2400.000000       0.010000       0.250000       0.250000       0.490000      30.000000     150.000000     150.000000     150.000000     250.000000      15.000000    2000.000000       1.000000       0.000000              1 
             62    Boreal_sedge     1480.000000       0.010000       0.200000       0.200000       0.590000     100.000000     100.000000     100.000000     100.000000     100.000000      15.000000    1200.000000       1.000000       1.000000              1 
             63          Almond     3333.330078       0.300000       0.250000       0.250000       0.200000      10.000000      25.000000      25.000000      50.000000     150.000000      15.000000    4000.000000       1.000000       0.000000              1 
             64        Nut_tree     8500.000000       0.400000       0.200000       0.200000       0.200000      20.000000      20.000000      30.000000      40.000000     150.000000      25.000000    3000.000000       1.000000       0.000000              0 
             65           Melon    10000.000000       0.550000       0.250000       0.100000       0.100000      20.000000      20.000000      40.000000      40.000000     550.000000      25.000000    1500.000000       1.000000       0.000000              0 
             66     Pasture_hay    11000.000000       0.500000       0.200000       0.110000       0.190000      80.000000      80.000000      80.000000      90.000000     550.000000      21.000000    2500.000000       2.000000       0.000000              0 
             67 Small_grain_hay    10435.000000       0.230000       0.270000       0.270000       0.230000      35.000000      75.000000      75.000000      85.000000     250.000000      21.000000    1650.000000       1.000000       0.000000              0 
             68         carrots     3692.000000       0.650000       0.150000       0.150000       0.050000      30.000000      30.000000      30.000000      50.000000     500.000000      25.000000    1400.000000       1.000000       0.000000              0 
             69         peppers     3692.000000       0.650000       0.150000       0.150000       0.050000      30.000000      30.000000      30.000000      50.000000     500.000000      25.000000    1400.000000       1.000000       0.000000              0 
             70       Asparagus     3692.000000       0.650000       0.150000       0.150000       0.050000      30.000000      30.000000      30.000000      50.000000     500.000000      25.000000    1400.000000       1.000000       0.000000              0 
             71     Cauliflower     3692.000000       0.650000       0.150000       0.150000       0.050000      30.000000      30.000000      30.000000      50.000000     500.000000      25.000000    1400.000000       1.000000       0.000000              0 
             72      Artichokes     3692.000000       0.650000       0.150000       0.150000       0.050000      30.000000      30.000000      30.000000      50.000000     500.000000      25.000000    1400.000000       1.000000       0.000000              0 
             73    Sweet_Potato     8571.000000       0.700000       0.130000       0.130000       0.050000      60.000000      60.000000      60.000000      60.000000     415.000000      25.000000    2100.000000       1.000000       0.000000              0 
             74     Beans_green     2933.000000       0.360000       0.230000       0.230000       0.180000       9.200000      45.000000      45.000000      55.000000     300.000000      28.000000    1900.000000       2.000000       0.000000              0 
             75             COT     1175.091797       0.320000       0.260000       0.260000       0.160000      10.000000      45.000000      45.000000      75.000000     400.000000      25.000000    3558.181885       1.000000       0.000000              0 
             76          Olives     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             77           Plums     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             78        Cherries     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             79           Peach     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             80           Pears     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             81          Apples     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             82           Dates     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             83        Avocados     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             84        Apricots     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             85            Figs     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             86          Prunes     3823.000000       0.450000       0.150000       0.150000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             87          Lemons     5381.000000       0.500000       0.130000       0.130000       0.250000      30.000000      50.000000      50.000000      50.000000     550.000000      25.000000    3000.000000       1.000000       0.000000              0 
             88             Tea     1000.000000       0.020000       0.500000       0.200000       0.280000      15.000000      15.000000      25.000000      35.000000     550.000000      30.000000    3000.000000       1.000000       0.000000              1 
             89        New_crop        0.000000       0.000000       0.000000       0.000000       1.000000       1.000000       1.000000       1.000000       1.000000       0.000000      25.000000       0.000000       1.000000       0.000000              0 
             90        New_crop        0.000000       0.000000       0.000000       0.000000       1.000000       1.000000       1.000000       1.000000       1.000000       0.000000      25.000000       0.000000       1.000000       0.000000              0 
                                                                                                                                                                                                                                                                                
